epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,351.459,2.17279,2.18646,1.09432,0.00127,0.02632,0.00124,0.00012,2.90917,3.72701,1.69,0.000409022,0.000409022,0.000409022
44,361.152,2.26503,2.27947,1.11295,0.00127,0.02632,0.00124,0.00012,2.90917,3.72701,1.69,0.000411664,0.000411664,0.000411664
45,367.332,2.20494,2.15454,1.11811,0.00126,0.02632,0.00066,0.00013,2.90515,3.69793,1.67716,0.000413976,0.000413976,0.000413976
46,374.554,2.34364,2.40618,1.12821,0.00126,0.02632,0.00066,0.00013,2.90515,3.69793,1.67716,0.000415958,0.000415958,0.000415958
47,383.712,2.27016,2.16641,1.06768,0.00258,0.05263,0.00163,0.0003,2.85946,3.62887,1.65821,0.00041761,0.00041761,0.00041761
48,391.566,2.12468,2.19077,1.15671,0.00258,0.05263,0.00163,0.0003,2.85946,3.62887,1.65821,0.000418932,0.000418932,0.000418932
49,398.474,2.21912,2.11829,1.11442,0.00488,0.0968,0.02333,0.00457,2.83182,3.58444,1.65606,0.000419924,0.000419924,0.000419924
50,407.774,2.35464,2.05743,1.08877,0.00488,0.0968,0.02333,0.00457,2.83182,3.58444,1.65606,0.000420586,0.000420586,0.000420586
51,418.702,2.45504,2.40227,1.18984,0.00324,0.06203,0.01042,0.00179,2.82379,3.58999,1.65508,0.000420918,0.000420918,0.000420918
52,429.857,2.21483,2.07554,1.1106,0.00324,0.06203,0.01042,0.00179,2.82379,3.58999,1.65508,0.000420919,0.000420919,0.000420919
53,440.103,2.26385,2.12483,1.10798,0.00324,0.06203,0.01042,0.00179,2.82379,3.58999,1.65508,0.000420591,0.000420591,0.000420591
54,452.517,2.27538,2.02403,1.1518,0.00417,0.07989,0.01945,0.00368,2.79496,3.56693,1.6702,0.000419932,0.000419932,0.000419932
55,463.177,2.23704,1.99895,1.17852,0.00417,0.07989,0.01945,0.00368,2.79496,3.56693,1.6702,0.000418944,0.000418944,0.000418944
56,474.253,2.15145,2.07164,1.0942,0.00417,0.07989,0.01945,0.00368,2.79496,3.56693,1.6702,0.000417625,0.000417625,0.000417625
57,482.429,2.10267,1.9409,1.11956,0.00787,0.15038,0.05206,0.00652,2.79516,3.49111,1.6819,0.000415977,0.000415977,0.000415977
58,491.93,1.99855,1.84468,1.07765,0.00787,0.15038,0.05206,0.00652,2.79516,3.49111,1.6819,0.000413998,0.000413998,0.000413998
59,499.073,2.19203,1.89274,1.06941,0.00787,0.15038,0.05206,0.00652,2.79516,3.49111,1.6819,0.000411689,0.000411689,0.000411689
