epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.2784,2.28396,2.13921,1.11854,0.00349,0.07049,0.00291,0.00063,2.88005,3.55286,1.60229,0.00040605,0.00040605,0.00040605
43,48.3292,2.40446,2.2663,1.1491,0.00255,0.05263,0.00429,0.00051,2.89261,3.54853,1.54807,0.000409022,0.000409022,0.000409022
44,49.3159,2.2482,2.07648,1.1247,0.00255,0.05263,0.00429,0.00051,2.89261,3.54853,1.54807,0.000411664,0.000411664,0.000411664
45,50.3477,2.31786,2.17203,1.20255,0.00134,0.02632,0.00259,0.00052,2.96109,3.56501,1.52524,0.000413976,0.000413976,0.000413976
46,51.3695,2.22162,2.22862,1.18206,0.00134,0.02632,0.00259,0.00052,2.96109,3.56501,1.52524,0.000415958,0.000415958,0.000415958
47,52.3524,2.42538,2.26984,1.20594,0.00506,0.0968,0.02376,0.00314,2.98702,3.57574,1.54988,0.00041761,0.00041761,0.00041761
48,53.3515,2.30564,2.12435,1.16041,0.00506,0.0968,0.02376,0.00314,2.98702,3.57574,1.54988,0.000418932,0.000418932,0.000418932
49,54.3686,2.40115,2.08108,1.09337,0.00519,0.0968,0.03592,0.00478,3.00227,3.57851,1.56164,0.000419924,0.000419924,0.000419924
50,55.3682,2.27116,2.17145,1.11497,0.00519,0.0968,0.03592,0.00478,3.00227,3.57851,1.56164,0.000420586,0.000420586,0.000420586
51,56.3637,2.43414,2.29187,1.19044,0.00671,0.12312,0.04804,0.00653,3.0424,3.57252,1.58708,0.000420918,0.000420918,0.000420918
52,57.3709,2.3648,2.01542,1.09312,0.00671,0.12312,0.04804,0.00653,3.0424,3.57252,1.58708,0.000420919,0.000420919,0.000420919
53,58.4816,2.36714,2.02541,1.13748,0.00671,0.12312,0.04804,0.00653,3.0424,3.57252,1.58708,0.000420591,0.000420591,0.000420591
54,59.6058,2.39561,2.0627,1.10758,0.0062,0.11466,0.04539,0.00855,3.01748,3.50799,1.57296,0.000419932,0.000419932,0.000419932
55,60.6205,2.34162,2.01272,1.14286,0.0062,0.11466,0.04539,0.00855,3.01748,3.50799,1.57296,0.000418944,0.000418944,0.000418944
56,61.6442,2.25578,2.03116,1.15937,0.0062,0.11466,0.04539,0.00855,3.01748,3.50799,1.57296,0.000417625,0.000417625,0.000417625
57,62.6482,2.23428,1.97997,1.0608,0.01048,0.19361,0.0572,0.02044,3.02971,3.4079,1.58133,0.000415977,0.000415977,0.000415977
58,63.6287,2.41752,2.09456,1.1995,0.01048,0.19361,0.0572,0.02044,3.02971,3.4079,1.58133,0.000413998,0.000413998,0.000413998
59,64.6134,2.23283,1.96486,1.15386,0.01048,0.19361,0.0572,0.02044,3.02971,3.4079,1.58133,0.000411689,0.000411689,0.000411689
60,65.6101,2.35826,2.04756,1.14793,0.00908,0.16729,0.06212,0.01921,3.04285,3.32053,1.61498,0.00040905,0.00040905,0.00040905
61,66.577,2.22781,1.92353,1.16635,0.00908,0.16729,0.06212,0.01921,3.04285,3.32053,1.61498,0.000406081,0.000406081,0.000406081
62,67.5738,2.41873,1.98594,1.15855,0.00908,0.16729,0.06212,0.01921,3.04285,3.32053,1.61498,0.000402782,0.000402782,0.000402782
63,68.5771,2.23062,1.8394,1.13534,0.01256,0.23872,0.0629,0.01362,3.03261,3.23958,1.62029,0.000399153,0.000399153,0.000399153
64,69.5515,2.0869,1.88385,1.13678,0.01256,0.23872,0.0629,0.01362,3.03261,3.23958,1.62029,0.000395194,0.000395194,0.000395194
65,70.5645,2.3103,1.93486,1.08281,0.01256,0.23872,0.0629,0.01362,3.03261,3.23958,1.62029,0.000390905,0.000390905,0.000390905
66,71.582,2.33477,1.93119,1.13846,0.01581,0.30075,0.0879,0.01774,2.96278,3.19167,1.57765,0.000386286,0.000386286,0.000386286
67,72.5772,2.11296,1.84319,1.08192,0.01581,0.30075,0.0879,0.01774,2.96278,3.19167,1.57765,0.000381336,0.000381336,0.000381336
68,73.582,2.03209,1.84215,1.06999,0.01581,0.30075,0.0879,0.01774,2.96278,3.19167,1.57765,0.000376057,0.000376057,0.000376057
69,74.598,2.11236,1.81149,1.12449,0.01737,0.32707,0.11924,0.02123,2.91632,3.1253,1.55701,0.000370447,0.000370447,0.000370447
70,75.5963,2.1744,1.80051,1.10294,0.01737,0.32707,0.11924,0.02123,2.91632,3.1253,1.55701,0.000364508,0.000364508,0.000364508
71,76.6015,2.22407,1.85366,1.09054,0.01737,0.32707,0.11924,0.02123,2.91632,3.1253,1.55701,0.000358238,0.000358238,0.000358238
72,77.615,2.04242,1.78065,1.08726,0.01502,0.28289,0.10284,0.02179,2.9019,3.06579,1.55928,0.000351639,0.000351639,0.000351639
73,78.6269,2.06334,1.71257,1.12194,0.01502,0.28289,0.10284,0.02179,2.9019,3.06579,1.55928,0.000344709,0.000344709,0.000344709
74,79.6274,2.39297,1.8851,1.15051,0.01502,0.28289,0.10284,0.02179,2.9019,3.06579,1.55928,0.000337449,0.000337449,0.000337449
75,80.6303,2.15766,1.65059,1.07051,0.01428,0.26504,0.07965,0.02406,2.87737,3.07298,1.53565,0.000329859,0.000329859,0.000329859
76,81.6365,2.2445,1.80939,1.09757,0.01428,0.26504,0.07965,0.02406,2.87737,3.07298,1.53565,0.000321939,0.000321939,0.000321939
77,82.6252,2.0015,1.71237,1.08069,0.01428,0.26504,0.07965,0.02406,2.87737,3.07298,1.53565,0.000313689,0.000313689,0.000313689
78,83.6853,2.23426,1.82267,1.08025,0.01651,0.30921,0.09357,0.02493,2.86992,3.10702,1.52617,0.000305109,0.000305109,0.000305109
79,84.7736,2.06793,1.88395,1.04154,0.01651,0.30921,0.09357,0.02493,2.86992,3.10702,1.52617,0.000296199,0.000296199,0.000296199
80,85.8372,2.08816,1.72196,1.07113,0.01651,0.30921,0.09357,0.02493,2.86992,3.10702,1.52617,0.000286959,0.000286959,0.000286959
81,86.854,2.24954,1.91544,1.1277,0.3384,0.16823,0.10311,0.02558,2.86547,3.10977,1.54744,0.000277389,0.000277389,0.000277389
82,87.9254,2.02972,1.72082,1.04371,0.3384,0.16823,0.10311,0.02558,2.86547,3.10977,1.54744,0.000267488,0.000267488,0.000267488
83,88.9131,1.94863,1.77068,1.0941,0.3384,0.16823,0.10311,0.02558,2.86547,3.10977,1.54744,0.000257258,0.000257258,0.000257258
84,89.955,2.18741,1.70602,1.02461,0.33262,0.09774,0.0943,0.02242,2.88761,3.10227,1.55797,0.000246698,0.000246698,0.000246698
85,90.9644,1.97377,1.84421,1.05925,0.33262,0.09774,0.0943,0.02242,2.88761,3.10227,1.55797,0.000235807,0.000235807,0.000235807
86,91.9578,2.02521,1.68676,1.03678,0.33262,0.09774,0.0943,0.02242,2.88761,3.10227,1.55797,0.000224587,0.000224587,0.000224587
87,92.95,2.00912,1.72379,1.02753,0.33262,0.09774,0.0943,0.02242,2.88761,3.10227,1.55797,0.000213036,0.000213036,0.000213036
88,93.9812,2.13896,1.66647,1.0983,0.29219,0.12406,0.09253,0.02063,2.86865,3.05524,1.54404,0.000201155,0.000201155,0.000201155
89,95.0253,2.04108,1.68966,1.0897,0.29219,0.12406,0.09253,0.02063,2.86865,3.05524,1.54404,0.000188944,0.000188944,0.000188944
90,96.1048,2.08183,1.61674,1.03547,0.29219,0.12406,0.09253,0.02063,2.86865,3.05524,1.54404,0.000176404,0.000176404,0.000176404
91,110.349,2.01642,1.72024,1.06322,0.29219,0.12406,0.09253,0.02063,2.86865,3.05524,1.54404,0.000163533,0.000163533,0.000163533
92,112.489,2.21033,1.91108,1.19382,0.15729,0.19573,0.09033,0.02341,2.83957,2.98498,1.52856,0.000150332,0.000150332,0.000150332
93,113.803,2.10108,1.63716,1.09156,0.15729,0.19573,0.09033,0.02341,2.83957,2.98498,1.52856,0.000136801,0.000136801,0.000136801
94,114.836,1.99264,1.66249,1.04417,0.15729,0.19573,0.09033,0.02341,2.83957,2.98498,1.52856,0.00012294,0.00012294,0.00012294
95,115.854,2.0539,1.74652,1.0261,0.15729,0.19573,0.09033,0.02341,2.83957,2.98498,1.52856,0.000108748,0.000108748,0.000108748
96,116.997,2.12994,1.73404,1.09463,0.32365,0.14192,0.10481,0.02767,2.83654,2.90682,1.5313,9.42272e-05,9.42272e-05,9.42272e-05
97,118.016,2.07296,1.77007,1.08165,0.32365,0.14192,0.10481,0.02767,2.83654,2.90682,1.5313,7.93759e-05,7.93759e-05,7.93759e-05
98,119.007,1.92298,1.68416,1.05614,0.32365,0.14192,0.10481,0.02767,2.83654,2.90682,1.5313,6.41945e-05,6.41945e-05,6.41945e-05
99,120.026,2.08141,1.82684,1.13774,0.32365,0.14192,0.10481,0.02767,2.83654,2.90682,1.5313,4.86831e-05,4.86831e-05,4.86831e-05
100,121.027,2.15174,1.74773,1.14334,0.342,0.10398,0.10528,0.03042,2.82621,2.82099,1.53026,3.28416e-05,3.28416e-05,3.28416e-05
